 date, retweets, favorites, text, location, language
6/13/2017 19:56,2,0,$ZC_F Daily chart on 6/4: $Corn has now broken above (W) at 387.2 favoring more upside #elliottwavepic.twitter.com/TzzJWR4jez,,en
6/13/2017 18:03,0,1,"Agriculture Markets Report - Tusday, June 13 $CORN $SOYB $WEAT $BAL $JO $MOO $SGG $CHOChttps://goo.gl/uCaQzk ",,en
6/13/2017 17:59,102,1,$wdrp sad to say but I am happy this is failing. $vdrm $icld $corff $snap $gyst $nseh $heb $exol $aapl $gequ $fb $corn $xiv $vois,,en
6/13/2017 14:39,0,0,$CORN July corn settled $0.04 higher (+1.1%) at $3.81/bushel https://etfdailynews.com/etf-news/corn-july-corn-settled-0-04-higher-1-1-at-3-81bushel/ …,,en
6/13/2017 14:38,0,0,$CORN July corn settled $0.04 higher (+1.1%) at $3.81/bushel https://stocknews.com/news/corn-july-corn-settled-0-04-higher-1-1-at-3-81bushel/ …,,en
6/13/2017 14:14,0,0,"In 1963, #DeKalb #XL45 was first grown commercially. #CORN #AGTECH http://briandcolwell.com/2017/04/a-giant-sized-history-of-corn/.html … #agriculture #grains #agri #tech #agronomy $corn",,en
6/13/2017 13:40,1,0,"$CORN http://schrts.co/QxaDLf  Corn buyers I think are waiting now for weather related event. Inventory has been high for years, priced in.",,en
6/13/2017 12:12,1,1,"Between 1994-2001, the price of #corn in #Mexico fell 70%. #NAFTA http://briandcolwell.com/2017/04/a-giant-sized-history-of-corn/.html … #agriculture #agtech #grains #agri $corn #agronomy",,en
6/13/2017 11:52,0,1,WASDE Does Not Step On The Rebound In Grains Too Hard http://dynamiccommodities.com/wasde-not-step-rebound-grains-hard/ … $ZS_F $ZC_F $ZW_F $CORN $SOYB $WEAT $DBA $RJA $GSG $SPY,,en
6/13/2017 11:09,0,0,http://smq.tc/1VvJJhE  Jason Bonds Millionaire Roadmap trading mentoring program sign up for details!! $TTWO $CORN $ANDE,,en
6/13/2017 11:07,0,0,Cool Late Spring Pressures Natural Gas; The Most Ethical Company And Developing U.S. Drought? https://seekingalpha.com/article/4081087-cool-late-spring-pressures-natural-gas-ethical-company-developing-u-s-drought?source=feed_f … $CORN $JO $NEE $SOYB…,,en
6/13/2017 11:06,0,0,Cool Late Spring Pressures Natural Gas; The Most Ethical Company And Developing U.S. Drought? https://seekingalpha.com/article/4081087-cool-late-spring-pressures-natural-gas-ethical-company-developing-u-s-drought?source=twitter_sa_factset … $CORN $JO $NEE $SOYB,,en
6/13/2017 11:06,0,1,Cool Late Spring Pressures Natural Gas; The Most Ethical Company And Developing U.S. Drought? https://seekingalpha.com/article/4081087-cool-late-spring-pressures-natural-gas-ethical-company-developing-u-s-drought?source=feed_f … $CORN $JO $NEE $SOYB,,en
6/13/2017 9:07,0,0,#wheat #corn #soybeans iv loaded  #W_F #C_F #S_F $DBA $CORN $WEATpic.twitter.com/KbxxJYYIwR,,en
6/13/2017 8:08,0,0,#GM #corn has been grown since 1997 in the #UnitedStates & #Canada. http://briandcolwell.com/2017/04/a-giant-sized-history-of-corn/.html … #agriculture #agtech #grains #commodities $corn,,en
6/13/2017 7:36,0,0,WASDE Does Not Step On The Rebound In Grains Too Hard https://seekingalpha.com/article/4080910-wasde-step-rebound-grains-hard?source=feed_f … $DBA $JO $CORN $WEAT $NIB $SOYB $JJG $RJA $SGG $COW $BAL che…,,en
6/13/2017 7:32,0,0,WASDE Does Not Step On The Rebound In Grains Too Hard https://seekingalpha.com/article/4080910-wasde-step-rebound-grains-hard?source=feed_f … $DBA $JO $CORN $WEAT $NIB $SOYB $JJG $RJA $SGG $COW $BAL OMG…,,en
6/13/2017 7:32,0,0,"RT SeekingAlpha ""WASDE Does Not Step On The Rebound In Grains Too Hard https://seekingalpha.com/article/4080910-wasde-step-rebound-grains-hard?source=feed_f … $DBA $JO $CORN $WEAT $NIB $SOYB $JJG $RJA $…",,en
6/13/2017 7:32,0,0,WASDE Does Not Step On The Rebound In Grains Too Hard https://seekingalpha.com/article/4080910-wasde-step-rebound-grains-hard?source=twitter_sa_factset … $DBA $JO $CORN $WEAT $NIB $SOYB $JJG $RJA $SGG $COW $BAL,,en
6/13/2017 7:32,0,1,WASDE Does Not Step On The Rebound In Grains Too Hard https://seekingalpha.com/article/4080910-wasde-step-rebound-grains-hard?source=feed_f … $DBA $JO $CORN $WEAT $NIB $SOYB $JJG $RJA $SGG $COW $BAL,,en
6/13/2017 4:19,0,0,Learning a winning stock trading strategy is EASY with Tim Sykes http://smq.tc/1BFjMXK  $MGPI $CORN $CAMP,,en
6/12/2017 23:16,0,0,"Agriculture Markets Report - Monday, June 12 $CORN $SOYB $WEAT $BAL $JO $MOO $SGG $CHOChttps://goo.gl/5gyX5g ",,en
